F,19,a2,council,capitol,stationary,dissent,affects,complements,lose,capitol,stationery,descent,effect,council
F,19,b1,council,capitol,stationery,dissent,affects,complements,lose,capitol,stationary,dissent,affect,counsel
F,19,b2,council,capitol,stationary,dissent,affects,complements,lose,capitol,stationary,dissent,affect,counsel
